Date,VANCOUVER
1/2/2017,130.6
1/3/2017,135.8
1/4/2017,135.9
1/5/2017,134.1
1/6/2017,135.5
1/9/2017,133.8
1/10/2017,133.7
1/11/2017,130.4
1/12/2017,128.3
1/13/2017,125.9
1/16/2017,124.8
1/17/2017,124.6
1/18/2017,124.5
1/19/2017,124.4
1/20/2017,123.6
1/23/2017,124.5
1/24/2017,124.5
1/25/2017,124.7
1/26/2017,123.8
1/27/2017,118.9
1/30/2017,120.5
1/31/2017,120.7
2/1/2017,121.3
2/2/2017,123.2
2/3/2017,126.3
2/6/2017,127.5
2/7/2017,127.8
2/8/2017,126.5
2/9/2017,124.8
2/10/2017,127.2
2/13/2017,128
2/14/2017,128.2
2/15/2017,126.8
2/16/2017,127.5
2/17/2017,127.8
2/20/2017,127.8
2/21/2017,129.7
2/22/2017,129.7
2/23/2017,129.7
2/24/2017,130.3
2/27/2017,131.4
2/28/2017,131.3
3/1/2017,131.5
3/2/2017,133.3
3/3/2017,133.7
3/6/2017,137.3
3/7/2017,137.3
3/8/2017,137.9
3/9/2017,138.7
3/10/2017,137.6
3/13/2017,135.8
3/14/2017,135.5
3/15/2017,134.9
3/16/2017,134.4
3/17/2017,133.7
3/20/2017,133.2
3/21/2017,133.3
3/22/2017,132.8
3/23/2017,132.5
3/24/2017,132
3/27/2017,133.1
3/28/2017,133
3/29/2017,136.6
3/30/2017,137
3/31/2017,139
4/3/2017,142.4
4/4/2017,142.5
4/5/2017,141.8
4/6/2017,142.3
4/7/2017,140.7
4/10/2017,138.7
4/11/2017,138.7
4/12/2017,137.8
4/13/2017,138.4
4/14/2017,138.4
4/17/2017,139.5
4/18/2017,139.7
4/19/2017,139.7
4/20/2017,140.2
4/21/2017,137.8
4/24/2017,136.8
4/25/2017,136.3
4/26/2017,135.9
4/27/2017,135.5
4/28/2017,133.8
5/1/2017,131.6
5/2/2017,131.6
5/3/2017,130.8
5/4/2017,129.8
5/5/2017,131.2
5/8/2017,130
5/9/2017,130.3
5/10/2017,131
5/11/2017,130.5
5/12/2017,132.7
5/15/2017,136.3
5/16/2017,136.5
5/17/2017,137.3
5/18/2017,136.9
5/19/2017,137.2
5/22/2017,137.2
5/23/2017,138.2
5/24/2017,137.8
5/25/2017,136.6
5/26/2017,134.9
5/29/2017,134.2
5/30/2017,134.3
5/31/2017,134.3
6/1/2017,134.1
6/2/2017,133.9
6/5/2017,132.2
6/6/2017,132.5
6/7/2017,131.7
6/8/2017,133
6/9/2017,131.8
6/12/2017,131.3
6/13/2017,131.9
6/14/2017,131.6
6/15/2017,130.9
6/16/2017,129
6/19/2017,128.7
6/20/2017,128.7
6/21/2017,129.3
6/22/2017,128.8
6/23/2017,128.7
6/26/2017,128.6
6/27/2017,128.3
6/28/2017,128.3
6/29/2017,130.4
6/30/2017,132
7/3/2017,132
7/4/2017,134.1
7/5/2017,134.5
7/6/2017,134.3
7/7/2017,133.7
7/10/2017,133.7
7/11/2017,133.6
7/12/2017,133.2
7/13/2017,133.1
7/14/2017,132.1
7/17/2017,132.3
7/18/2017,132
7/19/2017,131.8
7/20/2017,132.2
7/21/2017,132.4
7/24/2017,130.5
7/25/2017,131.2
7/26/2017,130.8
7/27/2017,131.5
7/28/2017,132.4
7/31/2017,133.9
8/1/2017,133.9
8/2/2017,134.5
8/3/2017,134.5
8/4/2017,134.5
8/7/2017,134.5
8/8/2017,136.7
8/9/2017,136.2
8/10/2017,135.9
8/11/2017,136.1
8/14/2017,136.8
8/15/2017,136.5
8/16/2017,136.6
8/17/2017,136.8
8/18/2017,138
8/21/2017,141.5
8/22/2017,141.5
8/23/2017,140.8
8/24/2017,140.5
8/25/2017,140.7
8/28/2017,139.9
8/29/2017,140
8/30/2017,137.3
8/31/2017,139.1
9/1/2017,140.1
9/4/2017,140.1
9/5/2017,144.1
9/6/2017,144.2
9/7/2017,141.9
9/8/2017,139.9
9/11/2017,137.8
9/12/2017,137.8
9/13/2017,137.6
9/14/2017,137.7
9/15/2017,137.5
9/18/2017,136.3
9/19/2017,136.6
9/20/2017,136.6
9/21/2017,135.7
9/22/2017,135.6
9/25/2017,134.3
9/26/2017,134.1
9/27/2017,133.8
9/28/2017,133.5
9/29/2017,133.5
10/2/2017,133.1
10/3/2017,133.3
10/4/2017,132.7
10/5/2017,133.5
10/6/2017,134.5
10/9/2017,134.5
10/10/2017,134.3
10/11/2017,133.8
10/12/2017,134.8
10/13/2017,135.9
10/16/2017,137.1
10/17/2017,137.2
10/18/2017,136
10/19/2017,137.4
10/20/2017,137.5
10/23/2017,138.5
10/24/2017,138.5
10/25/2017,139.3
10/26/2017,140
10/27/2017,141.4
10/30/2017,143.5
10/31/2017,143.7
11/1/2017,142.8
11/2/2017,143.8
11/3/2017,145.3
11/6/2017,145.5
11/7/2017,145.6
11/8/2017,143.8
11/9/2017,144.7
11/10/2017,145.5
11/13/2017,145.3
11/14/2017,145.6
11/15/2017,144
11/16/2017,139.8
11/17/2017,138.1
11/20/2017,138.6
11/21/2017,138.9
11/22/2017,135.9
11/23/2017,137
11/24/2017,137.2
11/27/2017,137.9
11/28/2017,137.8
11/29/2017,139
11/30/2017,139.4
12/1/2017,139
12/4/2017,138.5
12/5/2017,138.3
12/6/2017,136.8
12/7/2017,135
12/8/2017,132.3
12/11/2017,137.4
12/12/2017,137.5
12/13/2017,137.9
12/14/2017,137.5
12/15/2017,136
12/18/2017,135.8
12/19/2017,135.7
12/20/2017,135.3
12/21/2017,136.4
12/22/2017,137.3
12/25/2017,137.3
12/26/2017,137.3
12/27/2017,139.6
12/28/2017,139.6
12/29/2017,140.5
1/1/2018,140.5
1/2/2018,138.5
1/3/2018,138.2
1/4/2018,137.6
1/5/2018,138.8
1/8/2018,139.5
1/9/2018,139.6
1/10/2018,140.5
1/11/2018,142
1/12/2018,141.7
1/15/2018,141.7
1/16/2018,141.3
1/17/2018,141.6
1/18/2018,140.8
1/19/2018,139.8
1/22/2018,140.5
1/23/2018,140.5
1/24/2018,143.3
1/25/2018,144.4
1/26/2018,144.4
1/29/2018,147
1/30/2018,147.5
1/31/2018,147.7
2/1/2018,146.1
2/2/2018,146.8
2/5/2018,147.5
2/6/2018,147.5
2/7/2018,146.5
2/8/2018,144.8
2/9/2018,143.2
2/12/2018,141
2/13/2018,140.7
2/14/2018,140.7
2/15/2018,140.6
2/16/2018,141.4
2/19/2018,141.4
2/20/2018,142.5
2/21/2018,142.5
2/22/2018,143.5
2/23/2018,143.4
2/26/2018,148.5
2/27/2018,148.7
2/28/2018,149.2
3/1/2018,148.8
3/2/2018,147.9
3/5/2018,148.3
3/6/2018,148.3
3/7/2018,150
3/8/2018,149.8
3/9/2018,149.5
3/12/2018,149
3/13/2018,149.3
3/14/2018,149.2
3/15/2018,149.4
3/16/2018,151.4
3/19/2018,154.6
3/20/2018,154.6
3/21/2018,153.8
3/22/2018,155.5
3/23/2018,156.3
3/26/2018,153.8
3/27/2018,153.8
3/28/2018,152.5
3/29/2018,153.3
3/30/2018,153.3
4/2/2018,155.5
4/3/2018,155.6
4/4/2018,154.8
4/5/2018,153.8
4/6/2018,153.7
4/9/2018,152
4/10/2018,151.6
4/11/2018,151.6
4/12/2018,153.3
4/13/2018,153.5
4/16/2018,154.5
4/17/2018,154.5
4/18/2018,153.7
4/19/2018,153.7
4/20/2018,155.2
4/23/2018,157.3
4/24/2018,157.5
4/25/2018,158.5
4/26/2018,158.5
4/27/2018,158.5
4/30/2018,161.4
5/1/2018,161.1
5/2/2018,161.3
5/3/2018,160
5/4/2018,158.5
5/7/2018,159.5
5/8/2018,159.5
5/9/2018,159.5
5/10/2018,159.5
5/11/2018,160.4
5/14/2018,161
5/15/2018,161.4
5/16/2018,160.6
5/17/2018,160.5
5/18/2018,161.5
5/21/2018,161.5
5/22/2018,158.8
5/23/2018,158.6
5/24/2018,161.4
5/25/2018,161.4
5/28/2018,158.9
5/29/2018,158.5
5/30/2018,158.4
5/31/2018,157.5
6/1/2018,157.3
6/4/2018,155.5
6/5/2018,155.4
6/6/2018,154.6
6/7/2018,153.8
6/8/2018,152.3
6/11/2018,154.3
6/12/2018,154.4
6/13/2018,153.8
6/14/2018,153.7
6/15/2018,153.5
6/18/2018,151.7
6/19/2018,150.5
6/20/2018,152.5
6/21/2018,152.1
6/22/2018,152.4
6/25/2018,155.6
6/26/2018,155.5
6/27/2018,155.9
6/28/2018,157
6/29/2018,159.9
7/2/2018,159.9
7/3/2018,159.6
7/4/2018,159.5
7/5/2018,159.1
7/6/2018,159.4
7/9/2018,157.4
7/10/2018,157.5
7/11/2018,158.3
